Draw Call #, GPU Time (ns), Frame Buffer Bottleneck, Frame Buffer Utilized, Geometry Unit Bottleneck, Geometry Unit Utilized, Input Assembly Bottleneck, Input Assembly Utilized, Primitive Count, Raster Operations Bottleneck, Raster Operations Utilized, Shader Bottleneck, Shader Utilized, Texture Bottleneck, Texture Utilized, Shaded Pixel Count, Vertex Instruction %, Geometry Instruction %, Pixel Instruction %
237, 1901, 2.31%, 0.00%, 2.06%, 2.03%, 8.31%, 1.01%, 14, 0.00%, 0.00%, 0.00%, 34.78%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
238, 2143, 4.65%, 2.04%, 11.35%, 8.25%, 10.33%, 5.05%, 72, 0.00%, 0.00%, 0.00%, 25.83%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
239, 4859, 3.38%, 0.00%, 4.03%, 3.04%, 4.00%, 2.03%, 72, 1.01%, 0.00%, 0.00%, 12.98%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
240, 5609, 3.71%, 1.11%, 1.01%, 1.10%, 5.05%, 1.10%, 41, 0.00%, 0.00%, 0.00%, 5.35%, 0.00%, 0.00%, 448, 40.96%, 0.00%, 59.04%
241, 2081, 1.15%, 0.00%, 2.05%, 1.02%, 14.41%, 1.00%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
242, 1900, 1.13%, 0.00%, 2.02%, 2.00%, 8.05%, 1.02%, 14, 0.00%, 0.00%, 1.08%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
243, 1897, 1.13%, 0.00%, 2.00%, 2.04%, 8.01%, 1.03%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
244, 1949, 1.15%, 0.00%, 2.06%, 2.10%, 8.23%, 1.05%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
245, 7614, 19.80%, 17.45%, 33.00%, 31.41%, 31.09%, 31.61%, 1352, 37.02%, 14.71%, 8.94%, 56.44%, 0.00%, 0.00%, 15296, 16.01%, 0.00%, 83.99%
246, 1931, 1.14%, 0.00%, 2.04%, 2.00%, 8.08%, 1.06%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
247, 1933, 2.22%, 0.00%, 2.00%, 2.09%, 8.06%, 1.05%, 14, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
248, 7447, 5.54%, 3.02%, 32.20%, 28.00%, 28.20%, 28.09%, 1286, 8.08%, 0.00%, 21.38%, 24.31%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
249, 5104, 3.41%, 1.02%, 5.06%, 3.03%, 6.05%, 3.00%, 119, 1.02%, 0.00%, 1.08%, 4.29%, 0.00%, 0.00%, 256, 0.00%, 0.00%, 100.00%
250, 6143, 4.51%, 2.00%, 23.03%, 19.07%, 19.04%, 19.20%, 730, 5.05%, 0.00%, 5.34%, 14.88%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
251, 13516, 21.47%, 45.37%, 48.27%, 35.41%, 74.00%, 24.17%, 2015, 19.07%, 7.06%, 13.82%, 60.58%, 0.00%, 0.00%, 15496, 42.53%, 0.00%, 57.47%
252, 12529, 14.82%, 38.93%, 44.89%, 31.55%, 66.63%, 23.55%, 1676, 11.24%, 3.00%, 20.77%, 58.15%, 0.00%, 0.00%, 5832, 61.53%, 0.00%, 38.47%
253, 20901, 14.57%, 47.34%, 90.82%, 45.00%, 66.60%, 33.20%, 4132, 0.00%, 0.00%, 2.15%, 74.13%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
254, 14024, 15.71%, 55.15%, 72.52%, 52.32%, 88.45%, 38.09%, 3229, 3.00%, 0.00%, 6.52%, 79.79%, 0.00%, 0.00%, 976, 90.88%, 0.00%, 9.12%
