Draw Call #, GPU Time (ns), Frame Buffer Bottleneck, Frame Buffer Utilized, Geometry Unit Bottleneck, Geometry Unit Utilized, Input Assembly Bottleneck, Input Assembly Utilized, Primitive Count, Raster Operations Bottleneck, Raster Operations Utilized, Shader Bottleneck, Shader Utilized, Texture Bottleneck, Texture Utilized, Shaded Pixel Count, Vertex Instruction %, Geometry Instruction %, Pixel Instruction %
2134, 8328, 4.61%, 1.02%, 5.11%, 5.00%, 5.01%, 4.19%, 185, 1.01%, 0.00%, 1.12%, 8.96%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2135, 6498, 10.16%, 8.21%, 2.01%, 2.03%, 6.00%, 1.03%, 54, 6.02%, 8.04%, 7.49%, 30.21%, 0.00%, 0.00%, 6024, 0.00%, 0.00%, 100.00%
2136, 9133, 23.06%, 20.42%, 5.00%, 6.15%, 9.31%, 4.12%, 234, 15.55%, 19.49%, 2.25%, 45.23%, 0.00%, 0.00%, 14960, 8.43%, 0.00%, 91.57%
2137, 7166, 6.97%, 2.06%, 0.00%, 0.00%, 2.02%, 0.00%, 8, 1.01%, 2.00%, 1.11%, 12.20%, 1.12%, 1.11%, 1664, 0.00%, 0.00%, 100.00%
2138, 4803, 4.67%, 2.05%, 14.67%, 12.18%, 13.42%, 11.00%, 340, 2.07%, 0.00%, 4.47%, 14.23%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2139, 6150, 7.97%, 7.15%, 6.11%, 5.12%, 7.08%, 4.13%, 160, 3.02%, 5.00%, 4.36%, 22.13%, 0.00%, 0.00%, 1576, 20.27%, 0.00%, 79.73%
2140, 7383, 16.39%, 12.49%, 4.08%, 2.05%, 5.00%, 2.07%, 120, 8.37%, 10.59%, 6.71%, 36.00%, 5.48%, 5.52%, 6008, 0.00%, 0.00%, 100.00%
2141, 8616, 15.74%, 9.00%, 3.13%, 2.06%, 3.01%, 2.03%, 120, 9.03%, 8.13%, 3.28%, 39.14%, 4.32%, 4.35%, 6424, 0.00%, 0.00%, 100.00%
2142, 4929, 4.58%, 1.00%, 8.24%, 6.20%, 9.37%, 4.07%, 134, 0.00%, 0.00%, 0.00%, 18.65%, 0.00%, 0.00%, 40, 81.08%, 0.00%, 18.92%
2143, 7138, 6.79%, 6.08%, 23.48%, 16.00%, 27.59%, 13.26%, 593, 3.10%, 2.04%, 4.37%, 28.54%, 0.00%, 0.00%, 512, 81.69%, 0.00%, 18.31%
2144, 6782, 10.31%, 11.13%, 16.46%, 11.00%, 19.25%, 8.19%, 343, 6.09%, 8.33%, 8.79%, 33.76%, 0.00%, 0.00%, 3952, 28.62%, 0.00%, 71.38%
2145, 7689, 9.24%, 4.00%, 1.01%, 1.01%, 4.11%, 1.02%, 72, 2.08%, 4.07%, 3.30%, 16.29%, 2.17%, 1.09%, 1920, 0.00%, 0.00%, 100.00%
2146, 2457, 4.72%, 1.00%, 9.52%, 7.30%, 14.41%, 6.08%, 94, 3.12%, 0.00%, 3.34%, 29.33%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2147, 1996, 3.51%, 0.00%, 3.14%, 3.09%, 15.56%, 2.02%, 27, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2148, 2151, 4.53%, 1.02%, 9.11%, 7.02%, 10.14%, 5.09%, 71, 0.00%, 0.00%, 1.08%, 26.19%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2149, 2091, 2.32%, 1.02%, 6.00%, 4.22%, 16.33%, 3.14%, 43, 1.05%, 0.00%, 1.10%, 32.09%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2150, 2328, 5.75%, 2.02%, 11.46%, 10.07%, 16.32%, 9.00%, 132, 4.05%, 0.00%, 5.44%, 23.79%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2151, 2276, 4.31%, 1.00%, 9.16%, 8.25%, 15.51%, 8.02%, 111, 1.02%, 0.00%, 1.08%, 24.52%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2152, 2220, 3.56%, 0.00%, 3.15%, 2.00%, 16.91%, 1.05%, 24, 1.04%, 0.00%, 1.12%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2153, 10683, 38.85%, 30.80%, 38.48%, 28.77%, 44.72%, 20.00%, 1350, 22.35%, 23.51%, 30.46%, 63.28%, 0.00%, 0.00%, 27480, 20.47%, 0.00%, 79.53%
2154, 11187, 11.27%, 11.28%, 42.64%, 32.83%, 51.00%, 24.48%, 1593, 23.22%, 3.07%, 36.97%, 49.09%, 0.00%, 0.00%, 1544, 78.36%, 0.00%, 21.64%
2155, 6738, 3.37%, 0.00%, 0.00%, 0.00%, 4.01%, 0.00%, 2, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2156, 4511, 3.39%, 0.00%, 0.00%, 0.00%, 6.01%, 0.00%, 2, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2157, 12217, 44.62%, 32.28%, 39.58%, 30.15%, 45.00%, 22.73%, 1588, 29.05%, 25.35%, 32.51%, 66.32%, 0.00%, 0.00%, 29776, 20.05%, 0.00%, 79.95%
2158, 3392, 8.19%, 5.05%, 31.00%, 24.31%, 39.19%, 18.26%, 326, 1.07%, 0.00%, 1.13%, 33.46%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2159, 2272, 3.33%, 0.00%, 1.00%, 1.14%, 10.31%, 1.00%, 8, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2160, 2006, 4.69%, 1.00%, 5.26%, 4.06%, 17.44%, 3.01%, 38, 1.03%, 0.00%, 1.11%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2161, 2339, 4.59%, 1.03%, 10.11%, 9.10%, 15.00%, 9.29%, 132, 0.00%, 0.00%, 0.00%, 29.98%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2162, 3521, 9.08%, 6.09%, 35.80%, 27.53%, 43.16%, 20.12%, 390, 2.12%, 0.00%, 3.25%, 24.63%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2163, 4885, 3.29%, 1.00%, 2.00%, 2.04%, 7.06%, 1.01%, 56, 0.00%, 0.00%, 0.00%, 16.87%, 0.00%, 0.00%, 192, 0.00%, 0.00%, 100.00%
2164, 2532, 5.77%, 2.00%, 16.63%, 14.31%, 17.54%, 13.04%, 212, 0.00%, 0.00%, 0.00%, 23.76%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2165, 2369, 5.67%, 2.00%, 14.16%, 12.13%, 14.16%, 12.03%, 180, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2166, 2480, 5.59%, 2.03%, 15.00%, 14.73%, 17.28%, 13.20%, 202, 0.00%, 0.00%, 0.00%, 27.46%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2167, 2369, 5.62%, 2.00%, 12.18%, 12.14%, 13.00%, 12.35%, 174, 0.00%, 0.00%, 0.00%, 28.43%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2168, 5310, 5.90%, 4.17%, 13.60%, 10.00%, 13.17%, 10.29%, 322, 3.05%, 2.04%, 4.39%, 22.72%, 0.00%, 0.00%, 344, 53.67%, 0.00%, 46.33%
2169, 2143, 2.22%, 0.00%, 1.01%, 1.02%, 14.00%, 1.02%, 16, 1.02%, 0.00%, 1.08%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2170, 14676, 19.54%, 16.41%, 46.35%, 36.11%, 56.00%, 25.33%, 2288, 30.92%, 7.09%, 45.08%, 58.49%, 0.00%, 0.00%, 16400, 44.55%, 0.00%, 55.45%
2171, 8271, 9.00%, 6.00%, 34.24%, 25.58%, 43.52%, 18.41%, 931, 2.02%, 0.00%, 3.21%, 40.81%, 0.00%, 0.00%, 128, 94.55%, 0.00%, 5.45%
2172, 2751, 7.03%, 3.09%, 18.40%, 14.14%, 22.24%, 12.00%, 204, 1.05%, 0.00%, 1.06%, 23.82%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2173, 7209, 11.51%, 12.29%, 40.68%, 28.00%, 40.86%, 21.48%, 931, 8.35%, 4.15%, 14.28%, 46.98%, 0.00%, 0.00%, 3680, 51.41%, 0.00%, 48.59%
2174, 2199, 4.55%, 1.00%, 9.17%, 8.21%, 9.15%, 7.08%, 94, 2.05%, 0.00%, 2.18%, 24.55%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2175, 2058, 2.38%, 0.00%, 3.23%, 2.00%, 7.34%, 2.16%, 27, 1.04%, 0.00%, 1.14%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2176, 2155, 3.38%, 1.01%, 9.00%, 7.12%, 9.11%, 5.12%, 71, 0.00%, 0.00%, 0.00%, 30.27%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2177, 2037, 3.52%, 1.00%, 6.23%, 4.10%, 9.25%, 3.03%, 43, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2178, 2339, 4.51%, 2.06%, 11.16%, 10.12%, 12.00%, 9.17%, 132, 2.03%, 0.00%, 2.17%, 28.66%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2179, 2251, 3.47%, 1.02%, 9.30%, 8.02%, 10.17%, 8.12%, 111, 3.03%, 0.00%, 3.32%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2180, 5888, 4.51%, 1.02%, 6.12%, 5.09%, 7.06%, 5.10%, 200, 0.00%, 0.00%, 0.00%, 10.90%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2181, 5509, 3.73%, 0.00%, 5.00%, 4.42%, 6.64%, 3.36%, 114, 0.00%, 0.00%, 0.00%, 11.80%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2182, 6385, 8.01%, 7.05%, 25.36%, 19.37%, 24.00%, 15.19%, 593, 2.02%, 2.02%, 8.73%, 37.31%, 0.00%, 0.00%, 832, 65.19%, 0.00%, 34.81%
2183, 5772, 4.53%, 1.01%, 10.16%, 9.02%, 10.00%, 10.26%, 345, 0.00%, 0.00%, 0.00%, 13.07%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2184, 7864, 4.53%, 3.03%, 4.08%, 5.00%, 5.03%, 6.08%, 120, 1.03%, 2.05%, 1.09%, 9.59%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2185, 6709, 4.62%, 3.05%, 9.13%, 10.15%, 9.02%, 11.30%, 309, 2.00%, 1.00%, 2.14%, 10.73%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2186, 2563, 5.68%, 2.09%, 15.36%, 14.50%, 17.00%, 13.33%, 212, 0.00%, 0.00%, 0.00%, 26.75%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2187, 2519, 5.79%, 2.04%, 16.45%, 14.17%, 14.19%, 13.21%, 212, 5.00%, 0.00%, 8.80%, 24.91%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2188, 4129, 3.33%, 0.00%, 0.00%, 0.00%, 3.03%, 0.00%, 2, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2189, 4949, 3.37%, 1.01%, 4.00%, 3.03%, 6.10%, 2.03%, 68, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2190, 5169, 4.51%, 2.03%, 9.00%, 7.20%, 8.19%, 7.03%, 224, 0.00%, 0.00%, 0.00%, 17.95%, 0.00%, 0.00%, 72, 74.07%, 0.00%, 25.93%
2191, 5212, 5.47%, 3.00%, 19.51%, 14.17%, 19.28%, 10.03%, 326, 1.03%, 0.00%, 1.09%, 21.65%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2192, 2274, 3.92%, 0.00%, 1.18%, 1.14%, 9.27%, 1.12%, 8, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2193, 2022, 4.76%, 1.00%, 6.32%, 4.11%, 8.28%, 3.06%, 38, 1.01%, 0.00%, 1.13%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2194, 6385, 6.70%, 5.14%, 19.03%, 14.00%, 23.67%, 10.34%, 396, 4.02%, 1.03%, 6.38%, 29.54%, 0.00%, 0.00%, 600, 65.00%, 0.00%, 35.00%
2195, 2616, 5.70%, 3.07%, 24.33%, 22.49%, 21.00%, 22.65%, 345, 0.00%, 0.00%, 1.09%, 26.22%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2196, 7674, 4.50%, 1.01%, 5.18%, 6.15%, 4.14%, 6.06%, 120, 0.00%, 0.00%, 1.08%, 9.67%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2197, 7122, 4.53%, 1.01%, 9.13%, 9.13%, 8.06%, 11.26%, 309, 1.05%, 0.00%, 1.08%, 11.66%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2198, 5929, 4.68%, 1.03%, 8.00%, 7.23%, 8.28%, 9.36%, 256, 0.00%, 0.00%, 1.11%, 60.59%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2199, 4763, 3.32%, 0.00%, 0.00%, 0.00%, 4.46%, 1.02%, 16, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2200, 6186, 3.51%, 0.00%, 2.11%, 2.01%, 5.06%, 2.10%, 89, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2201, 5099, 4.39%, 1.02%, 8.09%, 8.07%, 8.03%, 9.16%, 250, 0.00%, 0.00%, 1.07%, 48.67%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2202, 10310, 3.99%, 0.00%, 3.59%, 3.01%, 4.01%, 5.94%, 226, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2203, 6372, 3.53%, 1.02%, 5.28%, 4.10%, 5.00%, 6.30%, 176, 0.00%, 0.00%, 0.00%, 77.23%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2204, 2277, 3.32%, 1.03%, 8.00%, 8.08%, 15.11%, 7.16%, 108, 0.00%, 0.00%, 1.10%, 24.52%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2205, 2235, 3.36%, 0.00%, 3.00%, 3.06%, 9.00%, 3.06%, 36, 1.01%, 0.00%, 1.04%, 33.45%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2206, 3053, 6.84%, 4.16%, 27.56%, 19.00%, 34.00%, 15.75%, 268, 3.01%, 0.00%, 3.39%, 22.19%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2207, 2168, 3.36%, 0.00%, 0.00%, 0.00%, 6.05%, 0.00%, 4, 0.00%, 0.00%, 0.00%, 30.34%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2208, 2333, 3.86%, 0.00%, 1.14%, 1.03%, 7.00%, 1.17%, 12, 0.00%, 0.00%, 0.00%, 38.11%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2209, 2766, 4.68%, 4.00%, 11.52%, 7.35%, 13.68%, 7.34%, 120, 0.00%, 0.00%, 0.00%, 23.20%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2210, 2733, 4.54%, 5.13%, 11.00%, 7.10%, 12.45%, 7.01%, 120, 2.05%, 0.00%, 2.17%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2211, 5784, 4.62%, 2.07%, 10.20%, 7.14%, 11.00%, 5.19%, 200, 0.00%, 0.00%, 0.00%, 14.36%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2212, 2192, 3.37%, 0.00%, 2.00%, 2.05%, 8.34%, 2.05%, 17, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2213, 5751, 4.67%, 1.00%, 8.25%, 7.18%, 9.27%, 9.36%, 256, 0.00%, 0.00%, 1.10%, 51.28%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2214, 4480, 3.39%, 0.00%, 0.00%, 0.00%, 4.20%, 1.02%, 16, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2215, 6573, 3.54%, 0.00%, 1.05%, 1.02%, 5.09%, 1.04%, 42, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2216, 4852, 4.54%, 1.02%, 9.20%, 8.05%, 8.16%, 9.11%, 250, 1.01%, 0.00%, 1.09%, 52.18%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2217, 6542, 3.34%, 1.08%, 5.00%, 4.22%, 6.37%, 5.02%, 176, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2218, 10872, 3.44%, 0.00%, 3.02%, 3.04%, 5.02%, 5.11%, 243, 0.00%, 0.00%, 0.00%, 77.79%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2219, 6184, 6.73%, 5.07%, 25.51%, 18.10%, 29.00%, 13.20%, 494, 2.03%, 1.09%, 3.20%, 39.71%, 0.00%, 0.00%, 368, 67.16%, 0.00%, 32.84%
2220, 6336, 5.11%, 1.00%, 3.39%, 3.43%, 5.72%, 3.42%, 62, 1.15%, 1.14%, 1.20%, 10.88%, 1.08%, 0.00%, 792, 33.64%, 0.00%, 66.36%
2221, 6586, 3.41%, 1.01%, 1.01%, 1.01%, 2.01%, 1.02%, 24, 0.00%, 0.00%, 0.00%, 7.55%, 0.00%, 0.00%, 496, 0.00%, 0.00%, 100.00%
2222, 10627, 3.37%, 0.00%, 3.00%, 3.07%, 4.12%, 3.01%, 222, 1.03%, 0.00%, 2.14%, 81.81%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2223, 10339, 3.41%, 0.00%, 3.06%, 3.00%, 3.02%, 4.10%, 222, 2.00%, 0.00%, 2.17%, 82.27%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2224, 5053, 4.57%, 1.00%, 9.27%, 8.10%, 9.33%, 9.08%, 250, 0.00%, 0.00%, 1.08%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2225, 5830, 4.51%, 1.00%, 8.11%, 7.03%, 9.04%, 9.20%, 256, 0.00%, 0.00%, 1.08%, 54.05%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2226, 4598, 3.52%, 0.00%, 0.00%, 0.00%, 3.08%, 1.06%, 16, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2227, 6276, 3.55%, 0.00%, 4.22%, 4.19%, 7.10%, 5.27%, 162, 0.00%, 0.00%, 0.00%, 65.25%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2228, 10011, 3.38%, 0.00%, 4.00%, 4.71%, 4.72%, 4.04%, 226, 0.00%, 0.00%, 0.00%, 84.84%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2229, 5955, 3.49%, 0.00%, 2.08%, 2.03%, 3.06%, 2.08%, 89, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2230, 6241, 4.75%, 1.02%, 5.35%, 4.00%, 5.03%, 6.47%, 176, 0.00%, 0.00%, 1.14%, 74.17%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2231, 5663, 4.55%, 1.01%, 8.13%, 7.11%, 7.15%, 9.00%, 256, 0.00%, 0.00%, 1.08%, 40.59%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2232, 4750, 3.59%, 0.00%, 0.00%, 0.00%, 3.00%, 1.07%, 16, 0.00%, 0.00%, 0.00%, 80.06%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2233, 5209, 4.57%, 1.01%, 10.34%, 9.10%, 10.23%, 10.09%, 294, 0.00%, 0.00%, 1.10%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2234, 5714, 3.35%, 0.00%, 2.00%, 1.02%, 6.03%, 1.00%, 54, 0.00%, 0.00%, 0.00%, 10.75%, 0.00%, 0.00%, 416, 0.00%, 0.00%, 100.00%
2235, 2236, 6.83%, 2.03%, 17.00%, 14.32%, 20.16%, 13.16%, 182, 0.00%, 0.00%, 0.00%, 29.14%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2236, 5617, 3.41%, 1.01%, 6.09%, 5.07%, 6.10%, 5.00%, 182, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2237, 6179, 4.47%, 4.01%, 10.00%, 8.20%, 12.27%, 5.04%, 222, 1.00%, 2.04%, 3.22%, 15.14%, 0.00%, 0.00%, 32, 86.79%, 0.00%, 13.21%
2238, 3084, 5.77%, 3.48%, 19.06%, 12.39%, 19.40%, 8.12%, 152, 1.03%, 0.00%, 1.13%, 21.88%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2239, 8776, 9.24%, 7.05%, 33.00%, 25.88%, 41.05%, 18.63%, 951, 2.06%, 1.02%, 3.27%, 46.09%, 0.00%, 0.00%, 704, 85.22%, 0.00%, 14.78%
2240, 8975, 9.03%, 7.91%, 26.15%, 19.91%, 36.12%, 34.00%, 824, 2.07%, 0.00%, 5.47%, 53.75%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2241, 8684, 6.73%, 3.03%, 18.15%, 17.30%, 19.08%, 19.18%, 928, 0.00%, 0.00%, 1.08%, 38.60%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2242, 5367, 6.69%, 3.02%, 15.00%, 12.03%, 18.02%, 21.55%, 322, 0.00%, 0.00%, 2.17%, 63.07%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2243, 5468, 5.75%, 3.11%, 13.36%, 10.06%, 16.18%, 18.64%, 254, 0.00%, 0.00%, 1.09%, 65.19%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2244, 4764, 3.46%, 0.00%, 1.04%, 1.03%, 6.09%, 2.03%, 40, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2245, 4648, 4.44%, 1.03%, 8.00%, 7.09%, 7.05%, 6.17%, 182, 0.00%, 0.00%, 0.00%, 14.33%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2246, 5635, 5.54%, 3.06%, 18.00%, 15.33%, 22.01%, 12.29%, 406, 4.06%, 0.00%, 4.22%, 25.36%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2247, 4936, 3.43%, 0.00%, 3.05%, 2.06%, 7.18%, 2.00%, 66, 0.00%, 0.00%, 0.00%, 16.27%, 0.00%, 0.00%, 48, 70.83%, 0.00%, 29.17%
2248, 2839, 5.91%, 2.11%, 18.93%, 16.64%, 17.55%, 15.00%, 272, 1.04%, 0.00%, 1.11%, 24.74%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2249, 7098, 5.03%, 7.00%, 6.00%, 7.97%, 7.75%, 5.09%, 194, 8.98%, 7.85%, 10.96%, 44.49%, 6.32%, 7.31%, 6752, 16.09%, 0.00%, 83.91%
2250, 3083, 5.84%, 2.10%, 24.22%, 21.00%, 22.83%, 21.51%, 399, 1.02%, 0.00%, 1.10%, 22.18%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2251, 3186, 5.64%, 2.04%, 13.00%, 16.33%, 14.03%, 18.15%, 136, 3.05%, 0.00%, 3.17%, 23.58%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2252, 3866, 6.89%, 4.18%, 23.82%, 25.25%, 26.84%, 27.00%, 435, 6.22%, 0.00%, 11.99%, 26.66%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2253, 8119, 20.61%, 19.51%, 23.30%, 18.55%, 27.00%, 14.47%, 690, 15.34%, 15.32%, 21.81%, 49.27%, 0.00%, 0.00%, 12472, 17.50%, 0.00%, 82.50%
2254, 2187, 3.35%, 0.00%, 5.00%, 4.14%, 17.44%, 4.06%, 64, 1.01%, 0.00%, 1.07%, 27.39%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2255, 2277, 4.77%, 0.00%, 2.14%, 2.09%, 7.40%, 2.00%, 22, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2256, 5946, 4.61%, 1.03%, 3.11%, 2.04%, 5.06%, 1.03%, 64, 1.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2257, 5978, 4.51%, 1.03%, 8.00%, 7.29%, 8.17%, 8.14%, 256, 2.09%, 0.00%, 3.23%, 69.03%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2258, 4696, 3.35%, 0.00%, 1.00%, 1.03%, 3.11%, 1.02%, 44, 1.02%, 0.00%, 1.06%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2259, 5892, 3.38%, 0.00%, 0.00%, 0.00%, 5.00%, 1.02%, 21, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, -1.#J%, -1.#J%, -1.#J%
2260, 5565, 3.67%, 0.00%, 4.35%, 2.14%, 6.00%, 5.47%, 79, 0.00%, 0.00%, 0.00%, 75.73%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2261, 10419, 3.44%, 0.00%, 3.09%, 4.01%, 5.02%, 5.07%, 246, 3.01%, 0.00%, 5.47%, 67.06%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2262, 4751, 3.49%, 0.00%, 2.04%, 2.05%, 9.22%, 3.02%, 74, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2263, 5006, 4.53%, 1.01%, 9.16%, 8.00%, 9.08%, 9.11%, 250, 0.00%, 0.00%, 1.09%, 49.92%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2264, 6204, 3.45%, 0.00%, 5.13%, 4.01%, 6.02%, 5.18%, 163, 1.01%, 0.00%, 1.12%, 0.00%, 0.00%, 0.00%, 0, 100.00%, 0.00%, 0.00%
2265, 8101, 7.95%, 8.13%, 26.61%, 20.00%, 30.45%, 17.23%, 858, 9.12%, 4.06%, 13.02%, 36.21%, 0.00%, 0.00%, 3264, 43.51%, 0.00%, 56.49%
